id,url,skills,input_url,warning,warning_code,error
mr-aaron-hernandez-342118a5,https://www.linkedin.com/in/mr-aaron-hernandez-342118a5,"[""Finance Foundations: Risk Management"",""Managing Your Personal Investments"",""Practical Python for Algorithmic Trading""]",https://www.linkedin.com/in/mr-aaron-hernandez-342118a5,,,
rakeshjamla,https://www.linkedin.com/in/rakeshjamla,[],https://www.linkedin.com/in/rakeshjamla,,,
lorette-brunner-a57916208,https://www.linkedin.com/in/lorette-brunner-a57916208,"[""Building a New Leadership Ladder: Support Women on the Rise (Book Bite)"",""Occupational Safety and Health: Blood-Borne Pathogens"",""CISSP Cert Prep (2021): 7 Security Operations""]",https://www.linkedin.com/in/lorette-brunner-a57916208,,,
theedwinwu,https://www.linkedin.com/in/theedwinwu,"[""Business Analytics: Sales Data"",""Managerial Economics"",""Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit""]",https://www.linkedin.com/in/theedwinwu,,,
connor-weldy,https://www.linkedin.com/in/connor-weldy,"[""Machine Learning with Python: Decision Trees"",""Complete Your First Project in R"",""Machine Learning with Python: k-Means Clustering""]",https://www.linkedin.com/in/connor-weldy,,,
srikanth-gilakathula-11975a266,https://www.linkedin.com/in/srikanth-gilakathula-11975a266,"[""Oracle Database 19c: Basic SQL"",""Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services"",""Oracle Cloud Data Management Foundations Workshop""]",https://www.linkedin.com/in/srikanth-gilakathula-11975a266,,,
omar-dohuky-mba-110a70219,https://www.linkedin.com/in/omar-dohuky-mba-110a70219,"[""Excel 2016: Data Validation in Depth"",""SQL for Data Analysis"",""Choose the Right Tool for Your Data: Python, R, or SQL""]",https://www.linkedin.com/in/omar-dohuky-mba-110a70219,,,
aletheaowan,https://www.linkedin.com/in/aletheaowan,"[""Cert Prep: Certified Analytics Professional (CAP)"",""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""Data Visualization in R with ggplot2""]",https://www.linkedin.com/in/aletheaowan,,,
zachgambill,https://www.linkedin.com/in/zachgambill,"[""Deploying Scalable Machine Learning for Data Science"",""AI and Data Science for SQL Developers: From Beginner to Advanced"",""Hands-On Data Science: 4 Services Analysis in Spark""]",https://www.linkedin.com/in/zachgambill,,,
sandy-mason-62946590,https://www.linkedin.com/in/sandy-mason-62946590,[],https://www.linkedin.com/in/sandy-mason-62946590,,,
robert-pestona,https://www.linkedin.com/in/robert-pestona,"[""Using Power BI with Excel"",""CompTIA Data+ (DA0-001) Cert Prep: Domain 1.0 Data Concepts and Environments"",""Introduction to Analytics Engineering""]",https://www.linkedin.com/in/robert-pestona,,,
